radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,310,260,52164,98403748,0,-74.17350769043,40.673446655273,1000,1,1,1320472330,1320472330,0
UMTS,310,260,52164,98403751,0,-74.173165,40.676708000000005,1639,8,1,1320472354,1320472354,0
UMTS,310,260,52164,98402321,0,-74.166267,40.684433,1000,11,1,1320472391,1320472391,0
UMTS,310,260,52161,163939791,0,-74.16636700000001,40.684158000000004,1000,5,1,1320472377,1320472377,0
UMTS,310,260,52164,98404461,0,-74.140413,40.714005,3262,30,1,1320472584,1320472584,0
CDMA,310,410,33039,31792,0,-74.117827,40.748228999999995,1000,22,1,1306581747,1306581747,0
CDMA,310,410,33039,37533,0,-74.116228,40.746015,2641,38,1,1306581830,1306581830,0
UMTS,310,260,52164,98402691,0,-74.16011800000001,40.693359,1000,4,1,1320472413,1320472413,0
UMTS,310,260,52164,98404471,0,-74.157813,40.69797,1092,7,1,1331933629,1331933629,0
UMTS,310,260,52164,98400601,0,-74.16275,40.700455,1400,6,1,1323532077,1323532077,0
UMTS,310,260,52164,98404469,0,-74.15428161621101,40.700912475586,1000,1,1,1320472440,1320472440,0
UMTS,310,260,52164,98404468,0,-74.150643,40.707024,1000,20,1,1320472491,1320472491,0
UMTS,310,260,52164,98404458,0,-74.142314,40.71288,1000,7,1,1320472510,1320472510,0
CDMA,310,410,33034,38782,0,-74.182195,40.692792,1000,46,1,1319645070,1319645070,0
CDMA,310,410,33034,38785,0,-74.183143,40.69491,1131,62,1,1306582380,1306582380,0
CDMA,310,410,33034,31065,0,-74.185118,40.700128,1615,77,1,1306582380,1306582380,0
CDMA,310,410,33034,38783,0,-74.183863,40.693526,1433,37,1,1321193084,1321193084,0
CDMA,310,410,33049,42091,0,-74.179344,40.691757,1000,12,1,1306582266,1306582266,0
CDMA,310,410,33020,32295,0,-74.17955,40.689926,1000,5,1,1306582220,1306582220,0
CDMA,310,410,33034,30442,0,-74.177322,40.691757,1000,9,1,1306582227,1306582227,0
CDMA,310,410,33034,38786,0,-74.185339,40.69505,1084,26,1,1306582253,1306582253,0
CDMA,310,410,33034,37791,0,-74.167099,40.69542,1000,3,1,1318059834,1318059834,0
CDMA,310,410,33049,42094,0,-74.177627563477,40.695419311523,1000,4,1,1306582266,1306582266,0
CDMA,310,410,33034,37794,0,-74.177284,40.693703,1000,4,1,1345490259,1361036055,0
CDMA,310,410,33049,40521,0,-74.177627563477,40.695419311523,1000,1,1,1306582246,1306582246,0
CDMA,310,410,33034,32053,0,-74.177627563477,40.695419311523,1000,1,1,1306582380,1306582380,0
CDMA,310,410,33034,30103,0,-74.183543,40.708518,1341,65,1,1306582132,1306582132,0
CDMA,310,410,33034,31064,0,-74.183219,40.715528000000006,1299,14,1,1305977833,1305977833,0
CDMA,310,410,33034,31061,0,-74.180557,40.718582,1000,15,1,1305977849,1305977849,0
CDMA,310,410,33034,30106,0,-74.180717,40.710182,1000,32,1,1306582103,1306582103,0
CDMA,310,410,33034,38784,0,-74.187383,40.705553,1583,58,1,1306582130,1306582130,0
CDMA,310,410,33034,30101,0,-74.177084,40.712671,1302,48,1,1306582098,1306582098,0
CDMA,310,410,33034,30254,0,-74.17744,40.721574,1000,22,1,1305977878,1305977878,0
CDMA,310,410,33034,30251,0,-74.17794,40.720825,2162,22,1,1305977878,1305977878,0
CDMA,310,410,33034,30104,0,-74.177392,40.717039,1030,35,1,1306582072,1306582072,0
CDMA,310,410,33034,30686,0,-74.173383,40.725569,1000,22,1,1305977916,1305977916,0
CDMA,310,410,33034,30683,0,-74.173416,40.725449,1000,15,1,1305977906,1305977906,0
CDMA,310,410,33034,31062,0,-74.188745,40.705098,1000,21,1,1306582115,1306582115,0
CDMA,310,410,33034,38781,0,-74.18831999999999,40.703626,1000,42,1,1306582132,1306582132,0
CDMA,310,410,33034,31066,0,-74.19341999999999,40.707778999999995,1000,2,1,1305977608,1305977608,0
CDMA,310,410,33034,31063,0,-74.189987182617,40.705032348633,1000,1,1,1305977665,1305977665,0
CDMA,310,410,33034,32601,0,-74.189987182617,40.705032348633,1000,1,1,1305977665,1305977665,0
UMTS,310,260,52164,98404460,0,-74.128189,40.729752000000005,1000,17,1,1320472629,1320472629,0
UMTS,310,260,52164,98403419,0,-74.125442504883,40.732498168945,1000,1,1,1320472619,1320472619,0
UMTS,310,260,52164,98400684,0,-74.12406899999999,40.735931,1000,4,1,1320472639,1320472639,0
UMTS,310,260,52164,98400683,0,-74.12289200000001,40.742111,1000,14,1,1320472679,1320472679,0
UMTS,310,260,52164,98400680,0,-74.122695922852,40.74348449707,1000,1,1,1320472664,1320472664,0
CDMA,310,410,33039,20301,0,-74.12853199999999,40.743542,1000,24,1,1305978390,1305978390,0
CDMA,310,410,33039,20306,0,-74.134918,40.742867,1280,20,1,1305978359,1305978359,0
CDMA,310,410,33034,34624,0,-74.130524,40.739319,1681,30,1,1306581834,1306581834,0
CDMA,310,410,33039,20304,0,-74.12693,40.743828,1000,24,1,1305978392,1305978392,0
CDMA,310,410,33034,34621,0,-74.131147,40.743379,1000,13,1,1305978367,1305978367,0
CDMA,310,410,33039,20303,0,-74.137274,40.742534,1000,13,1,1305978349,1305978349,0
CDMA,310,410,33039,20305,0,-74.122861,40.737937,1864,50,1,1306581834,1306581834,0
CDMA,310,410,33039,20302,0,-74.124725,40.735588,1728,44,1,1306581842,1306581842,0
CDMA,310,410,33039,37272,0,-74.12195600000001,40.743801,1000,13,1,1306581757,1306581757,0
CDMA,310,410,33034,30444,0,-74.190159,40.690956,1413,8,1,1345567586,1362493768,0
CDMA,310,410,33041,37301,0,-74.189987182617,40.703659057617,1000,1,1,1305976728,1305976728,0
CDMA,310,410,33034,32604,0,-74.190445,40.702744,1000,3,1,1305976982,1305976982,0
UMTS,310,260,52164,98403448,0,-74.11811800000001,40.754013,1000,3,1,1320472713,1320472713,0
UMTS,310,260,52164,98403450,0,-74.116614,40.75761,1000,7,1,1320472731,1320472731,0
CDMA,310,410,33041,62636,0,-74.147324,40.711715999999996,1807,15,1,1306581928,1306581928,0
CDMA,310,410,33034,30553,0,-74.158487,40.70941,1000,16,1,1306581974,1306581974,0
CDMA,310,410,33034,34616,0,-74.157715,40.709457,1000,18,1,1306581974,1306581974,0
CDMA,310,410,33034,34614,0,-74.159986,40.710103000000004,1000,13,1,1306581976,1306581976,0
CDMA,310,410,33034,34615,0,-74.163146,40.711275,1000,11,1,1306581991,1306581991,0
CDMA,310,410,33034,34613,0,-74.162325,40.711114,1000,7,1,1306581979,1306581979,0
CDMA,310,410,33034,34612,0,-74.171654,40.710938,1000,20,1,1306582072,1306582072,0
CDMA,310,410,33034,34611,0,-74.16389465332,40.711898803711,1000,1,1,1306581976,1306581976,0
CDMA,310,410,33034,30105,0,-74.17669699999999,40.709771999999994,1000,31,1,1306582092,1306582092,0
CDMA,310,410,33034,33375,0,-74.168243,40.711899,1000,6,1,1306582003,1306582003,0
CDMA,310,410,33034,33372,0,-74.172993,40.711899,1000,8,1,1306582025,1306582025,0
CDMA,310,410,33034,30102,0,-74.17851,40.70876,1000,28,1,1306582101,1306582101,0
CDMA,310,410,33034,31084,0,-74.151707,40.739965999999995,1568,16,1,1305978345,1305978345,0
CDMA,310,410,33039,22785,0,-74.153693,40.739169,2912,14,1,1305978270,1305978270,0
CDMA,310,410,33034,33374,0,-74.163261,40.733872,1159,13,1,1305978270,1305978270,0
CDMA,310,410,33034,31704,0,-74.15173100000001,40.740738,1000,7,1,1305978289,1305978289,0
CDMA,310,410,33034,41704,0,-74.152908325195,40.740737915039,1000,2,1,1305978270,1305978270,0
CDMA,310,410,33039,31041,0,-74.145012,40.742025,1000,16,1,1305978326,1305978326,0
CDMA,310,410,33039,31046,0,-74.15016174316399,40.740737915039,1000,2,1,1305978289,1305978289,0
CDMA,310,410,33039,31044,0,-74.14363900000001,40.742111,1000,16,1,1305978332,1305978332,0
CDMA,310,410,33039,30052,0,-74.14329528808601,40.742111206055,1000,2,1,1305978317,1305978317,0
CDMA,310,410,33034,30684,0,-74.16885400000001,40.729828000000005,1000,18,1,1305977951,1305977951,0
CDMA,310,410,33034,30681,0,-74.168615,40.730009,1000,16,1,1305977951,1305977951,0
CDMA,310,410,33034,33371,0,-74.168289,40.730301000000004,1000,5,1,1305977936,1305977936,0
CDMA,310,410,33034,30696,0,-74.162522,40.732636,3836,10,1,1305977951,1305977951,0
CDMA,310,410,33034,31086,0,-74.166985,40.731468,1000,4,1,1305977948,1305977948,0
CDMA,310,410,33034,65334,0,-74.166641,40.732155,1000,8,1,1314994212,1314994212,0
CDMA,310,410,33034,65331,0,-74.16578299999999,40.73267,1000,8,1,1305978203,1305978203,0
CDMA,310,410,33034,30692,0,-74.160363,40.736226,1000,7,1,1305978225,1305978225,0
CDMA,310,410,33034,30695,0,-74.141237,40.740053,1871,2,1,1305978203,1305978203,0
CDMA,310,410,33039,22782,0,-74.162521362305,40.735244750977,1000,1,1,1305978203,1305978203,0
CDMA,310,410,33034,36086,0,-74.162521362305,40.735244750977,1000,1,1,1305978203,1305978203,0
CDMA,310,410,33039,30056,0,-74.16114807128899,40.735244750977,1000,1,1,1305978208,1305978208,0
CDMA,310,410,33034,34625,0,-74.133486,40.723178999999995,1000,14,1,1306581861,1306581861,0
CDMA,310,410,33034,62634,0,-74.135055541992,40.720138549805,1000,1,1,1306581859,1306581859,0
CDMA,310,410,33034,41754,0,-74.139862,40.715332000000004,1000,14,1,1306581897,1306581897,0
CDMA,310,410,33034,31085,0,-74.137802124023,40.716018676758,1000,1,1,1306581877,1306581877,0
UMTS,310,260,52164,98428731,0,-74.21608,40.71991,1000,12,1,1359316655,1442436784,0
CDMA,310,410,33034,30445,0,-74.191548,40.684745,1000,22,1,1362493823,1362493823,0
UMTS,310,260,52162,124614841,0,-74.258651733398,40.904159545898,1000,2,1,1372172804,1372172804,0
UMTS,310,260,52164,98407427,0,-74.277877807617,40.73112487793,1000,1,1,1439594592,1439594592,0
UMTS,310,260,52194,32866635,0,-74.122695922852,40.847854614258,1000,3,1,1383681276,1383681276,0
UMTS,310,260,52194,32864815,0,-74.12178,40.850601,1000,3,1,1383701068,1436817024,0
CDMA,310,260,32169,30518,0,-74.118021,40.819454,1206,47,1,1154274248,1154274248,0
CDMA,310,260,32169,33391,0,-74.11880500000001,40.819702,1000,6,1,1154248914,1154248914,0
CDMA,310,260,32169,30519,0,-74.13600799999999,40.828651,1413,62,1,1154274189,1154274189,0
CDMA,310,260,32169,32163,0,-74.153896,40.837472999999996,1644,25,1,1154274121,1154274121,0
CDMA,310,260,32169,34292,0,-74.154598,40.837396999999996,1000,13,1,1154274101,1154274101,0
CDMA,310,260,32169,34293,0,-74.160838,40.840457,1000,31,1,1154274087,1154274087,0
CDMA,310,260,32157,30362,0,-74.172134,40.848975,1000,38,1,1154274044,1154274044,0
CDMA,310,260,32157,30363,0,-74.179859,40.859671,1141,48,1,1154274003,1154274003,0
CDMA,310,260,32157,31792,0,-74.186199,40.869116999999996,1000,29,1,1154273944,1154273944,0
CDMA,310,260,32157,31791,0,-74.190916,40.870999,1371,34,1,1154273956,1154273956,0
CDMA,310,260,32157,31793,0,-74.202463,40.877249,1000,47,1,1154273893,1154273893,0
CDMA,310,260,32157,32388,0,-74.210861,40.882971999999995,1000,35,1,1154273847,1154273847,0
CDMA,310,260,32157,32389,0,-74.219169,40.889225,1000,32,1,1154273802,1154273802,0
CDMA,310,260,32157,38673,0,-74.230736,40.894022,1000,55,1,1154273763,1154273763,0
CDMA,310,260,32157,33418,0,-74.236976,40.897479,1000,37,1,1154249563,1154249563,0
CDMA,310,260,32157,31631,0,-74.246339,40.894973,1000,29,1,1154273684,1154273684,0
CDMA,310,260,32157,30901,0,-74.257889,40.904694,1000,18,1,1154273603,1154273603,0
CDMA,310,260,32157,30902,0,-74.253073,40.897636,1000,16,1,1154273639,1154273639,0
CDMA,310,260,32157,38672,0,-74.219513,40.890083000000004,1000,4,1,1154273773,1154273773,0
UMTS,310,410,3995,151045411,0,-74.342117,40.860214,1000,9,1,1223271538,1223271538,0
UMTS,310,410,3995,151030882,0,-74.347617,40.855557,1000,23,1,1223271653,1223271653,0
UMTS,310,410,3995,151029952,0,-74.343633,40.858064,1279,76,1,1223271654,1223271654,0
UMTS,310,410,3995,151026631,0,-74.346313,40.851974,1000,6,1,1223271556,1223271556,0
UMTS,310,410,3995,151032003,0,-74.346542358398,40.851974487305,1000,4,1,1223271646,1223271646,0
CDMA,310,410,33024,32416,0,-74.346542358398,40.851974487305,1000,1,1,1223271556,1223271556,0
CDMA,310,410,33021,35005,0,-74.347719,40.855604,3658,14,1,1223291356,1367335931,0
UMTS,310,410,3995,151029321,0,-74.346542358398,40.851974487305,1000,1,1,1223271646,1223271646,0
CDMA,310,410,33021,10295,0,-74.326789,40.879018,2117,13,1,1223271827,1223271827,0
CDMA,310,410,33021,33186,0,-74.330442,40.869591,1304,29,1,1223271826,1223271826,0
CDMA,310,410,33021,10294,0,-74.323368,40.884075,1000,8,1,1223271827,1223271827,0
CDMA,310,410,33021,1076,0,-74.288521,40.893173,1000,4,1,1223271827,1223271827,0
UMTS,310,410,3995,150996023,0,-74.27265899999999,40.893173,1000,5,1,1223271827,1223271827,0
UMTS,310,410,3995,150996022,0,-74.271286,40.893723,1000,5,1,1223271827,1223271827,0
UMTS,310,410,3995,151033743,0,-74.234962,40.899353000000005,1000,4,1,1223271827,1223271827,0
UMTS,310,410,3995,151033741,0,-74.225521,40.897293,1000,8,1,1223271832,1223271832,0
UMTS,310,410,3995,151026102,0,-74.220028,40.896606,1000,8,1,1223271833,1223271833,0
UMTS,310,410,3994,151095149,0,-74.20169,40.89795,1571,23,1,1223271843,1223271843,0
CDMA,310,410,33044,31155,0,-74.196701,40.901108,1000,9,1,1223271843,1223271843,0
CDMA,310,410,33044,34666,0,-74.194482,40.903659999999995,1012,11,1,1223291643,1347648595,0
UMTS,310,410,3994,151092469,0,-74.17749,40.908279,1000,10,1,1223271843,1223271843,0
UMTS,310,410,3994,151100648,0,-74.161148,40.905228,1000,9,1,1223271844,1223271844,0
UMTS,310,410,3994,151099309,0,-74.15565500000001,40.901928000000005,1000,8,1,1223271896,1223271896,0
UMTS,310,410,3996,150962225,0,-74.12338299999999,40.901413,1000,2,1,1223271896,1223271896,0
UMTS,310,410,3999,6653773,0,-74.213333129883,40.758590698242,1000,1,1,1223310217,1223310217,0
CDMA,310,410,33050,34635,0,-74.21745300293,40.747604370117,1000,1,1,1223310250,1223310250,0
CDMA,310,410,33049,2305,0,-74.246292114258,40.673446655273,1000,31,1,1223311423,1223311423,0
CDMA,310,410,33049,2306,0,-74.260614,40.673054,1000,7,1,1223311657,1223311657,0
UMTS,310,410,3995,151026963,0,-74.16526794433601,40.87532043457,1000,1,1,1223311848,1223311848,0
UMTS,310,410,3994,151097477,0,-74.15428161621101,40.88493347168,1000,1,1,1223311848,1223311848,0
UMTS,310,410,3996,150962227,0,-74.13230895996101,40.889053344727,1000,1,1,1223311848,1223311848,0
